CodeRNCP;code;Libelle;;;
RNCP10317;340;Spécialites plurivalentes des services a la collectivité;;;
RNCP10318;343;Nettoyage, assainissement, protection de l'environnement;;;
RNCP10318;344;Sécurite des biens et des personnes, police, surveillance;;;
RNCP10320;122;Economie;;;
RNCP10320;313;Finances, banque, assurances, immobilier;;;
RNCP10320;314;Comptabilite, gestion;;;
RNCP10321;128;Droit, sciences politiques;;;
RNCP10321;136d;Langues étrangères appliquées aux sciences juridiques, aux sciences économiques;;;
RNCP10321;136g;"Langues étrangères appliquées au tourisme, au commerce international, aux affaires, à la documentation ; Interprétariat et traduction";;;
RNCP10323;136g;"Langues étrangères appliquées au tourisme, au commerce international, aux affaires, à la documentation ; Interprétariat et traduction";;;
RNCP10323;312m;Commerce, vente;;;
RNCP10323;312t;Négociation et vente;;;
RNCP10324;122;Economie;;;
RNCP10324;313;Finances, banque, assurances, immobilier;;;
RNCP10324;314;Comptabilite, gestion;;;
RNCP10325;136;Langues vivantes, civilisations étrangères et régionales;;;
RNCP10326;136;Langues vivantes, civilisations étrangères et régionales;;;
RNCP10327;136;Langues vivantes, civilisations étrangères et régionales;;;
RNCP10328;313m;Finances, banques, assurances (non indiquée ou autre);;;
RNCP10328;313p;Organisation des services financiers;;;
RNCP10328;313w;Vente de produits financiers;;;
RNCP10329;122;Economie;;;
RNCP1033;221;Agro-alimentaire, alimentation, cuisine;;;
RNCP10330;321;Journalisme et communication;;;
RNCP10331;136;Langues vivantes, civilisations étrangères et régionales;;;
RNCP10331;120;Spécialités pluridisciplinaires, sciences humaines et droit;;;
RNCP10332;136;Langues vivantes, civilisations étrangères et régionales;;;
RNCP10333;128;Droit, sciences politiques;;;
RNCP10333;128f;"Droit des produits alimentaires ; Normes industrielles";;;
RNCP10333;128g;"Droit fiscal ; Droit des affaires ; Droit pénal ; Droit de l'environnement ; Droit de la santé ; Droit de la sécurité et de la défense ; Droit du transport etc";;;
RNCP10334;135;Langues et civilisations anciennes;;;
RNCP10334;131g;Littérature appliquée à la documentation, communication, lettres et enseignement;;;
RNCP10334;126;Histoire;;;
RNCP10335;128g;"Droit fiscal ; Droit des affaires ; Droit pénal ; Droit de l'environnement ; Droit de la santé ; Droit de la sécurité et de la défense ; Droit du transport etc";;;
RNCP10336;122;Economie;;;
RNCP10338;131;Français, littérature et civilisation française;;;
RNCP10339;128g;"Droit fiscal ; Droit des affaires ; Droit pénal ; Droit de l'environnement ; Droit de la santé ; Droit de la sécurité et de la défense ; Droit du transport etc";;;
RNCP1034;230;Spécialités pluritechnologiques génie civil, construction, bois;;;
RNCP10340;136g;"Langues étrangères appliquées au tourisme, au commerce international, aux affaires, à la documentation ; Interprétariat et traduction";;;
RNCP10340;310p;Spécialités plurivalentes des échanges et de la gestion (organisation , gestion);;;
RNCP10340;320m;Spécialités plurivalentes de la communication et de l'information;;;
RNCP10341;125;Linguistique;;;
RNCP10341;125g;"Langages artificiels et informatique ; Linguistique et didactique des langues";;;
